rates_code,rates_authority_id,rates_authority,region,location_code,address_no,address_street,address_town,pc__pcs,use_category,scat_code,sub_category,category,floor_area,rental_valuation,valuation_date,revaluation_year,period,rates_expected,name,rates_paid,status,status_date,status_duration,ratepayers_published
0000000102366A,E09000031,Waltham Forest,Outer London - East and North East,2110994000,UNIT 17 THE FOREST BUSINESS PARK,ARGALL AVENUE,LONDON,E10 7FB,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,1117.78,61000.0,2010-04-01 00:00:00+00:00,2010,2011-03,25254.0,,,True,2010-04-01,,True
00000001023674,E09000031,Waltham Forest,Outer London - East and North East,2975127000,UNIT 16 THE FOREST BUSINESS PARK,ARGALL AVENUE,LONDON,E10 7FB,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,951.85,50000.0,2010-04-01 00:00:00+00:00,2010,2011-03,20350.0,,,True,2010-04-01,,True
00000001023689,E09000031,Waltham Forest,Outer London - East and North East,2976561000,LOW HALL DEPOT,ARGALL AVENUE,LONDON,E10 7AS,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,8486.85,362500.0,2010-04-01 00:00:00+00:00,2010,2011-03,150075.0,,,True,2010-04-01,,True
00000001023706,E09000031,Waltham Forest,Outer London - East and North East,6217441000,40,SOUTH ACCESS ROAD,LONDON,E17 8AX,Car Parks (Surfaced Open),040,Warehousing  Large Scale and High Bay,Industrial,32.0,6700.0,2010-04-01 00:00:00+00:00,2010,2011-03,2726.9,,,True,2010-04-01,,True
00000001087017,E09000031,Waltham Forest,Outer London - East and North East,185965057,1 & 2,ALBERT CRESCENT,LONDON,E4 6SH,Shops,249,Retail High Street,Retail,165.96,31750.0,2010-04-01 00:00:00+00:00,2010,2011-03,12922.25,NEXUS FOODS LIMITED,12929.67,True,2009-08-10,599.0,True
00000001087036,E09000031,Waltham Forest,Outer London - East and North East,202328057,4,ALBERT CRESCENT,LONDON,E4 6SH,Shops,249,Retail High Street,Retail,75.32,14750.0,2010-04-01 00:00:00+00:00,2010,2011-03,6003.25,GREGGS OF ENFIELD PLC,5319.17,True,1994-04-01,6209.0,True
0000000108704B,E09000031,Waltham Forest,Outer London - East and North East,1126057,5,ALBERT CRESCENT,LONDON,E4 6SH,Shops,249,Retail High Street,Retail,82.0,15500.0,2010-04-01 00:00:00+00:00,2010,2011-03,6308.5,,,True,2010-04-01,,True
00000001087089,E09000031,Waltham Forest,Outer London - East and North East,1122057,10,ALBERT CRESCENT,LONDON,E4 6SH,Shops,249,Retail High Street,Retail,39.0,11750.0,2010-04-01 00:00:00+00:00,2010,2011-03,4782.25,PERCY INGLE BAKERIES LTD,5892.0,True,2003-04-01,2922.0,True
0000000108711B,E09000031,Waltham Forest,Outer London - East and North East,202329057,3,ALBERT CRESCENT,LONDON,E4 6SH,Shops,249,Retail High Street,Retail,87.19,15750.0,2010-04-01 00:00:00+00:00,2010,2011-03,6410.25,,,True,2010-04-01,,True
00000001087125,E09000031,Waltham Forest,Outer London - East and North East,1392528000,8-9,ALBERT CRESCENT,LONDON,E4 6SH,Restaurants,234,Retail Restaurants & Cafes,Retail,155.61,31500.0,2010-04-01 00:00:00+00:00,2010,2011-03,12820.5,,,True,2010-04-01,,True
00000001111131,E09000031,Waltham Forest,Outer London - East and North East,1378485000,1,SNOWBERRY CLOSE,LONDON,E15 2AH,Day Nurseries/Play Schools,085,Office General,Office,404.0,46250.0,2010-04-01 00:00:00+00:00,2010,2011-03,18823.75,,,True,2010-04-01,,True
00000001210553,E09000031,Waltham Forest,Outer London - East and North East,1609631000,UNIT 7,ARGALL AVENUE,LONDON,E10 7QE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,92.74,7200.0,2010-04-01 00:00:00+00:00,2010,2011-03,2930.4,,,True,2010-04-01,,True
00000001210587,E09000031,Waltham Forest,Outer London - East and North East,1609615000,UNIT 1,ARGALL AVENUE,LONDON,E10 7QE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,155.36,9800.0,2010-04-01 00:00:00+00:00,2010,2011-03,3988.6000000000004,,,True,2010-04-01,,True
0000000121101A,E09000031,Waltham Forest,Outer London - East and North East,1609622000,UNITS 2-3,ARGALL AVENUE,LONDON,E10 7QE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,143.29,9000.0,2010-04-01 00:00:00+00:00,2010,2011-03,3663.0000000000005,,,True,2010-04-01,,True
00000001211039,E09000031,Waltham Forest,Outer London - East and North East,1609625000,UNIT 4,ARGALL AVENUE,LONDON,E10 7QE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,202.17,12750.0,2010-04-01 00:00:00+00:00,2010,2011-03,5189.25,,,True,2010-04-01,,True
00000001211043,E09000031,Waltham Forest,Outer London - East and North East,1609627000,UNIT 5,ARGALL AVENUE,LONDON,E10 7QE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,83.14,6400.0,2010-04-01 00:00:00+00:00,2010,2011-03,2604.8,,,True,2010-04-01,,True
00000001211058,E09000031,Waltham Forest,Outer London - East and North East,1609629000,UNIT 6,ARGALL AVENUE,LONDON,E10 7QE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,83.01,6400.0,2010-04-01 00:00:00+00:00,2010,2011-03,2604.8,,,True,2010-04-01,,True
00000001211132,E09000031,Waltham Forest,Outer London - East and North East,1727810000,UNIT 22A ROXWELL TRADING PARK ARGALL AVENUE,ARGALL AVENUE,LONDON,E10 7QE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,77.73,5500.0,2010-04-01 00:00:00+00:00,2010,2011-03,2238.5,,,True,2010-04-01,,True
00000001211185,E09000031,Waltham Forest,Outer London - East and North East,1814762000,UNIT 47,ARGALL AVENUE,LONDON,E10 7QP,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,120.67,8500.0,2010-04-01 00:00:00+00:00,2010,2011-03,3459.5000000000005,,,True,2010-04-01,,True
0000000121119A,E09000031,Waltham Forest,Outer London - East and North East,1814765000,UNIT 48 & 49,ARGALL AVENUE,LONDON,E10 7QE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,294.67,18000.0,2010-04-01 00:00:00+00:00,2010,2011-03,7326.000000000001,,,True,2010-04-01,,True
00000001211274,E09000031,Waltham Forest,Outer London - East and North East,6320268000,UNIT 4 AT 10,ARGALL AVENUE,LONDON,E10 7QE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,132.13,8300.0,2010-04-01 00:00:00+00:00,2010,2011-03,3378.1000000000004,,,True,2010-04-01,,True
00000001211289,E09000031,Waltham Forest,Outer London - East and North East,6320390000,UNIT 3 AT 10,ARGALL AVENUE,LONDON,E10 7QE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,128.24,8100.0,2010-04-01 00:00:00+00:00,2010,2011-03,3296.7000000000003,,,True,2010-04-01,,True
00000001211293,E09000031,Waltham Forest,Outer London - East and North East,6320335000,UNIT 5 AT 10,ARGALL AVENUE,LONDON,E10 7QE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,219.46,13750.0,2010-04-01 00:00:00+00:00,2010,2011-03,5596.25,,,True,2010-04-01,,True
00000001211294,E09000031,Waltham Forest,Outer London - East and North East,4486422000,UNIT 6 AT 10,ARGALL AVENUE,LONDON,E10 7QE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,131.25,11750.0,2010-04-01 00:00:00+00:00,2010,2011-03,4782.25,STEELFAB (LONDON) LTD,1565.06,True,2007-04-01,1461.0,True
00000001211378,E09000031,Waltham Forest,Outer London - East and North East,1215948000,RICHMOND HOUSE 11B,ARGALL AVENUE,LONDON,E10 7QE,Offices (Inc Computer Centres),203,Office General,Office,38.1,4100.0,2010-04-01 00:00:00+00:00,2010,2011-03,1668.7,,,True,2010-04-01,,True
00000001211397,E09000031,Waltham Forest,Outer London - East and North East,2804103000,UNIT 1 AT 17,ARGALL AVENUE,LONDON,E10 7QE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,366.95,29500.0,2010-10-01 00:00:00+00:00,2010,2011-03,12006.5,,,True,2010-10-01,,True
0000000121140A,E09000031,Waltham Forest,Outer London - East and North East,2804104000,UNIT 2 AT 17,ARGALL AVENUE,LONDON,E10 7QE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,285.5,16000.0,2010-04-01 00:00:00+00:00,2010,2011-03,6512.0,,,True,2010-04-01,,True
00000001211414,E09000031,Waltham Forest,Outer London - East and North East,2804109000,UNIT 3 AT 17,ARGALL AVENUE,LONDON,E10 7QE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,392.2,21500.0,2010-04-01 00:00:00+00:00,2010,2011-03,8750.5,DOLANA OF LONDON LTD,13748.0,True,2006-01-01,1916.0,True
00000001211429,E09000031,Waltham Forest,Outer London - East and North East,2804136000,UNIT 9 AT 17,ARGALL AVENUE,LONDON,E10 7QE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,111.51,7800.0,2010-04-01 00:00:00+00:00,2010,2011-03,3174.6000000000004,RELIANCE FREIGHT (UK) LTD,839.64,True,2007-08-01,1339.0,True
00000001211433,E09000031,Waltham Forest,Outer London - East and North East,2804139000,UNIT 10 AT 17,ARGALL AVENUE,LONDON,E10 7QE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,131.58,8300.0,2010-04-01 00:00:00+00:00,2010,2011-03,3378.1000000000004,,,True,2010-04-01,,True
00000001211452,E09000031,Waltham Forest,Outer London - East and North East,2804148000,UNIT 12 AT 17,ARGALL AVENUE,LONDON,E10 7QE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,163.98,10500.0,2010-04-01 00:00:00+00:00,2010,2011-03,4273.5,,,True,2010-04-01,,True
00000001211467,E09000031,Waltham Forest,Outer London - East and North East,2804151000,UNIT 14 AT 17,ARGALL AVENUE,LONDON,E10 7QE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,285.06,16250.0,2010-04-01 00:00:00+00:00,2010,2011-03,6613.750000000001,,,True,2010-04-01,,True
00000001211471,E09000031,Waltham Forest,Outer London - East and North East,2804155000,UNIT 15 AT 17,ARGALL AVENUE,LONDON,E10 7QE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,283.58,16000.0,2010-04-01 00:00:00+00:00,2010,2011-03,6512.0,REDHOUSE UK LTD,10065.5,True,2009-10-01,547.0,True
00000001211486,E09000031,Waltham Forest,Outer London - East and North East,2915618000,UNIT 1,ARGALL AVENUE,LONDON,E10 7QE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,162.81,10750.0,2010-04-01 00:00:00+00:00,2010,2011-03,4375.25,MONOLITH (UK) LTD,6943.16,True,2006-12-01,1582.0,True
0000000121149B,E09000031,Waltham Forest,Outer London - East and North East,2915619000,UNIT 2,ARGALL AVENUE,LONDON,E10 7QE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,190.7,12250.0,2010-04-01 00:00:00+00:00,2010,2011-03,4985.75,,,True,2010-04-01,,True
00000001211503,E09000031,Waltham Forest,Outer London - East and North East,2915621000,UNIT 3,ARGALL AVENUE,LONDON,E10 7QE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,178.22,11750.0,2010-04-01 00:00:00+00:00,2010,2011-03,4782.25,,,True,2010-04-01,,True
00000001211518,E09000031,Waltham Forest,Outer London - East and North East,2915628000,UNIT 8,ARGALL AVENUE,LONDON,E10 7QE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,236.82,15750.0,2010-04-01 00:00:00+00:00,2010,2011-03,6410.25,,,True,2010-04-01,,True
00000001211522,E09000031,Waltham Forest,Outer London - East and North East,2915629000,UNIT 9,ARGALL AVENUE,LONDON,E10 7QE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,218.68,9500.0,2010-04-01 00:00:00+00:00,2010,2011-03,3866.5000000000005,,,True,2010-04-01,,True
00000001211537,E09000031,Waltham Forest,Outer London - East and North East,2935463000,UNIT 211 1ST FLOOR,ARGALL AVENUE,LONDON,E10 7QY,Business Units,408,Office General,Office,31.05,2800.0,2010-04-01 00:00:00+00:00,2010,2011-03,1139.6000000000001,,,True,2010-04-01,,True
00000001211541,E09000031,Waltham Forest,Outer London - East and North East,2935464000,UNIT 212 1ST FLOOR,ARGALL AVENUE,LONDON,E10 7QY,Business Units,408,Office General,Office,29.93,2600.0,2010-04-01 00:00:00+00:00,2010,2011-03,1058.2,,,True,2010-04-01,,True
00000001211556,E09000031,Waltham Forest,Outer London - East and North East,2935466000,UNIT 213 1ST FLOOR,ARGALL AVENUE,LONDON,E10 7QY,Business Units,408,Office General,Office,50.24,4650.0,2010-04-01 00:00:00+00:00,2010,2011-03,1892.5500000000002,,,True,2010-04-01,,True
0000000121156B,E09000031,Waltham Forest,Outer London - East and North East,2935467000,UNIT 214 1ST FLOOR,ARGALL AVENUE,LONDON,E10 7QY,Business Units,408,Office General,Office,47.56,4400.0,2010-04-01 00:00:00+00:00,2010,2011-03,1790.8000000000002,,,True,2010-04-01,,True
00000001211575,E09000031,Waltham Forest,Outer London - East and North East,2935470000,UNIT 215 1ST FLOOR,ARGALL AVENUE,LONDON,E10 7QY,Business Units,408,Office General,Office,49.81,4650.0,2010-04-01 00:00:00+00:00,2010,2011-03,1892.5500000000002,,,True,2010-04-01,,True
0000000121158A,E09000031,Waltham Forest,Outer London - East and North East,2935472000,UNIT 216 1ST FLOOR,ARGALL AVENUE,LONDON,E10 7QY,Business Units,408,Office General,Office,48.46,4500.0,2010-04-01 00:00:00+00:00,2010,2011-03,1831.5000000000002,,,True,2010-04-01,,True
00000001211607,E09000031,Waltham Forest,Outer London - East and North East,2935475000,UNIT 221 2ND FLOOR,ARGALL AVENUE,LONDON,E10 7QY,Business Units,408,Office General,Office,29.93,2350.0,2010-04-01 00:00:00+00:00,2010,2011-03,956.45,,,True,2010-04-01,,True
00000001211611,E09000031,Waltham Forest,Outer London - East and North East,2935476000,UNIT 222 2ND FLOOR,ARGALL AVENUE,LONDON,E10 7QY,Business Units,408,Office General,Office,31.05,2500.0,2010-04-01 00:00:00+00:00,2010,2011-03,1017.5000000000001,,,True,2010-04-01,,True
00000001211626,E09000031,Waltham Forest,Outer London - East and North East,2935477000,UNIT 223 2ND FLOOR,ARGALL AVENUE,LONDON,E10 7QY,Business Units,408,Office General,Office,50.24,4200.0,2010-04-01 00:00:00+00:00,2010,2011-03,1709.4,,,True,2010-04-01,,True
0000000121163B,E09000031,Waltham Forest,Outer London - East and North East,2935478000,UNIT 224 2ND FLOOR,ARGALL AVENUE,LONDON,E10 7QY,Business Units,408,Office General,Office,47.56,3950.0,2010-04-01 00:00:00+00:00,2010,2011-03,1607.65,,,True,2010-04-01,,True
00000001211645,E09000031,Waltham Forest,Outer London - East and North East,2935479000,UNIT 225,ARGALL AVENUE,LONDON,E10 7QY,Business Units,408,Office General,Office,49.81,4150.0,2010-04-01 00:00:00+00:00,2010,2011-03,1689.0500000000002,,,True,2010-04-01,,True
0000000121165A,E09000031,Waltham Forest,Outer London - East and North East,2935480000,UNIT 226,ARGALL AVENUE,LONDON,E10 7QY,Business Units,408,Office General,Office,48.46,4050.0,2010-04-01 00:00:00+00:00,2010,2011-03,1648.3500000000001,,,True,2010-04-01,,True
00000001211664,E09000031,Waltham Forest,Outer London - East and North East,2935481000,UNIT 227,ARGALL AVENUE,LONDON,E10 7QY,Business Units,408,Office General,Office,46.57,3850.0,2010-04-01 00:00:00+00:00,2010,2011-03,1566.95,,,True,2010-04-01,,True
00000001211753,E09000031,Waltham Forest,Outer London - East and North East,2915622000,UNIT 4,ARGALL AVENUE,LONDON,E10 7QE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,389.96,22500.0,2010-04-01 00:00:00+00:00,2010,2011-03,9157.5,,,True,2010-04-01,,True
00000001211768,E09000031,Waltham Forest,Outer London - East and North East,2915624000,UNIT 5,ARGALL AVENUE,LONDON,E10 7QE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,184.27,12000.0,2010-04-01 00:00:00+00:00,2010,2011-03,4884.0,,,True,2010-04-01,,True
00000001211772,E09000031,Waltham Forest,Outer London - East and North East,2915626000,UNIT 6,ARGALL AVENUE,LONDON,E10 7QE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,183.92,12000.0,2010-04-01 00:00:00+00:00,2010,2011-03,4884.0,,,True,2010-04-01,,True
00000001211787,E09000031,Waltham Forest,Outer London - East and North East,2915627000,UNIT 7,ARGALL AVENUE,LONDON,E10 7QE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,191.61,12500.0,2010-04-01 00:00:00+00:00,2010,2011-03,5087.5,,,True,2010-04-01,,True
00000001211804,E09000031,Waltham Forest,Outer London - East and North East,3298854000,UNIT 24 THE FOREST BUSINESS PARK,ARGALL AVENUE,LONDON,E10 7FB,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,374.32,20250.0,2010-04-01 00:00:00+00:00,2010,2011-03,8241.75,,,True,2010-04-01,,True
00000001211810,E09000031,Waltham Forest,Outer London - East and North East,3245287000,UNITS 9-11 EAST 10 ENTERPRISE PARK,ARGALL WAY,LONDON,E10 7DQ,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,4523.9,220000.0,2010-04-01 00:00:00+00:00,2010,2011-03,91080.0,MOMART LIMITED,161130.0,True,2004-04-01,2556.0,True
00000001211819,E09000031,Waltham Forest,Outer London - East and North East,3298855000,UNIT 25 THE FOREST BUSINESS PARK,ARGALL AVENUE,LONDON,E10 7FB,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,398.36,32250.0,2010-04-01 00:00:00+00:00,2010,2011-03,13125.750000000002,,,True,2010-04-01,,True
00000001211821,E09000031,Waltham Forest,Outer London - East and North East,3690224000,SUITE 1A,ARGALL AVENUE,LONDON,E10 7QP,Offices (Inc Computer Centres),203,Office General,Office,33.7,3000.0,2010-04-01 00:00:00+00:00,2010,2011-03,1221.0,,,True,2010-04-01,,True
00000001211873,E09000031,Waltham Forest,Outer London - East and North East,4171562000,UNIT 1,ARGALL AVENUE,LONDON,E10 7QE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,202.01,12750.0,2010-04-01 00:00:00+00:00,2010,2011-03,5189.25,,,True,2010-04-01,,True
00000001211884,E09000031,Waltham Forest,Outer London - East and North East,4171565000,UNIT 2,ARGALL AVENUE,LONDON,E10 7QE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,129.51,8200.0,2010-04-01 00:00:00+00:00,2010,2011-03,3337.4,,,True,2010-04-01,,True
00000001211893,E09000031,Waltham Forest,Outer London - East and North East,4171566000,UNIT 3,ARGALL AVENUE,LONDON,E10 7QE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,261.98,15750.0,2010-04-01 00:00:00+00:00,2010,2011-03,6410.25,,,True,2010-04-01,,True
00000001211913,E09000031,Waltham Forest,Outer London - East and North East,4171570000,UNIT 5,ARGALL AVENUE,LONDON,E10 7QE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,219.36,13750.0,2010-04-01 00:00:00+00:00,2010,2011-03,5596.25,,,True,2010-04-01,,True
00000001211924,E09000031,Waltham Forest,Outer London - East and North East,4171573000,UNITS 6 7 & 8,ARGALL AVENUE,LONDON,E10 7QE,Offices (Inc Computer Centres),203,Office General,Office,658.08,46000.0,2010-04-01 00:00:00+00:00,2010,2011-03,18722.0,,,True,2010-04-01,,True
00000001211935,E09000031,Waltham Forest,Outer London - East and North East,4171575000,UNIT 9,ARGALL AVENUE,LONDON,E10 7QE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,65.75,5300.0,2010-04-01 00:00:00+00:00,2010,2011-03,2157.1000000000004,,,True,2010-04-01,,True
00000001211946,E09000031,Waltham Forest,Outer London - East and North East,4171577000,UNIT 10,ARGALL AVENUE,LONDON,E10 7QE,"Factories, Workshops and Warehouses (Incl Bakeries & Dairies)",096,Industrial General,Industrial,242.94,15250.0,2010-04-01 00:00:00+00:00,2010,2011-03,6206.75,,,True,2010-04-01,,True
00000001211957,E09000031,Waltham Forest,Outer London - East and North East,4213463000,STORESAFE R/O,ARGALL AVENUE,LONDON,E10 7QE,Stores,268,Retail High Street,Retail,252.76,7300.0,2010-04-01 00:00:00+00:00,2010,2011-03,2971.1000000000004,,,True,2010-04-01,,True
